,address,lat,lng
0,23 Marina Way,-22.89647995629184,-42.790424899566176
1,23 Delta Road,1.2917600000000675,103.82594000000006
2,6 Kitchener Link,14.567170000000033,121.03331000000003
3,15 Tong Watt Road,,
4,78 Guan Chuan Street,1.2825600000000463,103.83110000000005
5,3 Orchard Boulevard,36.51037250295536,-79.67254051322824
6,82 Dakota Crescent,1.3063500000000658,103.88428000000005
7,48 Spottiswoode Park Road,1.2756359350288449,103.8367030601188
8,22 Saint Thomas Walk,9.025580000000048,76.92636000000005
9,10 Martin Place,30.064440940630607,-90.48001543265697
10,91 West Coast Vale,50.67561000000006,-120.32274999999998
11,25 Mount Sophia,41.114810000000034,-75.30128999999994
12,205 River Valley Road,51.14365423833564,1.276944811286641
13,145 Killiney Road,-37.81171999999998,144.96972000000005
14,3 Wallich Street,51.676420000000064,-4.160719999999969
15,24 Bedok North Drive,1.3245267380608823,103.9298809058638
16,6 Sims Drive,60.30940000000004,5.322120000000041
17,11 Paya Lebar Road,2.8500000000000227,102.33333000000005
18,45 Mosque Street,17.89423000000005,83.45044000000007
19,55 Changi Road,1.3175800000000208,103.90582000000006
20,11 River Valley Close,51.14365423833564,1.276944811286641
21,14 Kitchener Link,14.567170000000033,121.03331000000003
22,213 Guillemard Road,43.887170000000026,2.3943400000000565
23,61 Cairnhill Circle,57.435253440000054,-2.7583398269999293
24,1 Ardmore Park,,
25,21 Nathan Road,22.312425183834932,114.17049745942177
26,37 Nassim Road,,
27,12 Siglap Link,1.3076516514346672,103.92866915032532
28,10 Gopeng Street,1.2751618964947653,103.84453846320719
29,1 Shenton Way,41.29284336405261,-73.07065625592509
30,5000A Marine Parade Road,1.309092636829746,103.92928922731863
31,1 Fraser Street,53.409980000000076,-2.9765199999999368
32,8 Martin Place,35.06977000000006,-106.10418999999996
33,6A Lincoln Road,52.58834000000007,-0.24678999999997586
34,10 Prinsep Link,1.3004919240719204,103.85069874294601
35,4 Marina Boulevard,-27.96807999999993,153.42699000000005
36,38 Scotts Road,52.47646000000003,-1.89549999999997
37,20 Newton Road,52.54562000000004,-1.9341199999999503
38,48 Saint Thomas Walk,9.025580000000048,76.92636000000005
39,371 Beach Road,-35.944239451205654,173.85901509119435
40,100 Clemenceau Avenue North,1.3105000000000473,103.83948000000004
41,149 Pasir Ris Grove,1.369082881775256,103.94566729848538
42,9 Oxley Rise,1.2973100000000386,103.84320000000008
43,18 Woodsville Close,52.75829527489837,-1.547544027771735
44,24 Leedon Heights,1.314076767914969,103.80263640722382
45,8 Scotts Road,52.47646000000003,-1.89549999999997
46,101 Cairnhill Circle,-45.31666999999993,169.38333000000011
47,28 Beach Road,11.923890000000029,79.83346000000006
48,61 Tampines Street 86,1.352111288676357,103.9287067132795
49,91 Prince Charles Crescent,46.308248986453,-63.76340286916063
50,11 Evelyn Road,38.938420000000065,-81.34428999999994
51,16 Mount Elizabeth,40.26366343854566,-79.88776559409274
52,38 Handy Road,35.079630000000066,-81.08995999999996
53,6 Hougang Street 92,1.3745870680429846,103.87799172842784
54,10 Siglap Link,1.3076516514346672,103.92866915032532
55,68 Edgedale Plains,40.89696888550279,-81.35382470735233
56,10 Kensington Park Drive,,
57,76 Shenton Way,,
58,6 Paya Lebar Road,2.8500000000000227,102.33333000000005
59,7 Ardmore Park,,
60,3 Keppel Bay View,,
61,29 Oei Tiong Ham Park,1.3152800000000298,103.79389000000003
62,23 Angullia Park,1.3047000000000253,103.83010000000007
63,22 Teow Hock Avenue,1.3614755502722602,103.88007773267111
