amenities,built_year,detailed_address,developer,district,facing,floor_level,furnishing,link,mrt_distance,mrt_name,name,neighbourhood,overlooking_view,picture_url,price/sqft,price_month,property_type,sqft,tenure,total_units,unit_types,bedrooms,bathrooms
"['Clubhouse', 'Function room', 'Water feature', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2014,38 Handy Road,Allgreen Properties,Orchard / River Valley (D9),,,Fully,https://www.99.co/singapore/rent/property/suites-at-orchard-condo-GeJYRdyKC8AtjkGQCvzwbP#enquiry_position_11#enquiry_source_Search,5 min (202 m) from ,Dhoby Ghaut MRT,Suites At Orchard,None,City view,https://pic.99.co/v3/ox3Rv7gD6HRFuCPH9JmyYB?width=2400&mode=fill&text=Calvin+Cheong&sampling=lanczos&quality=80&version=1&signature=aaa45aa60491728d7947394896e2b14fb8dcf7ad,$5.92 psf,"$5,100/mo",Condo Whole Unit,861,99 Years,118,"1, 2, 3 BR",2,2
"['Function room', 'Aircon', 'Stove', 'Fridge', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Playground', '', '', '', '', '']",2016,28 Beach Road,City Developments,Beach Road / Bugis / Rochor (D7),,High (45 total),Partial,https://www.99.co/singapore/rent/property/south-beach-residences-condo-B6o5qR45fGJEqMXxbsiiZK#enquiry_position_12#enquiry_source_Search,5 min (127 m) from ,Esplanade MRT,South Beach Residences,None,,https://pic.99.co/v3/XuvrFjMUf9ExTSiEJgW9CV?width=2400&mode=fill&text=Franc+Ho&sampling=lanczos&quality=80&version=1&signature=3dc5f4cedf749fe8058926852f95b2d8c33866db,$7.22 psf,"$11,500/mo",Condo Whole Unit,"1,592",99 Years,171,"2, 3, 4, 5 BR",2,2
"['Pond', 'City view', 'Renovated', 'High ceiling', 'Parking', 'Swimming pool', 'Wading pool', 'Jacuzzi', '', '', '', '', '', '']",2010,8 Scotts Road,Wheelock Properties (S) Ltd,Orchard / River Valley (D9),North,High (43 total),Partial,https://www.99.co/singapore/rent/property/scotts-square-condo-SraJ5wGiSbFQeNcBe5LdeQ#enquiry_position_13#enquiry_source_Search,5 min (172 m) from ,Orchard MRT,Scotts Square,Orchard,City view,https://pic.99.co/v3/PcJnHiXfBCq9Ja5k32GS2Q?width=2400&mode=fill&text=justin+chan&sampling=lanczos&quality=80&version=1&signature=3587b4f17ddf9f48dd0a1b7bb1b82558e68ba049,$8.81 psf,"$5,500/mo",Condo Whole Unit,624,Freehold,338,"Studio, 1, 2, 3, 5 BR",1,1
"['City view', 'Renovated', 'Aircon', 'High ceiling', 'Sofa', 'Parking', 'Dishwasher', 'Bed', '', '', '', '', '', '', '', '', '', '', '', '', '']",2010,8 Scotts Road,Wheelock Properties (S) Ltd,Orchard / River Valley (D9),,High (43 total),Fully,https://www.99.co/singapore/rent/property/scotts-square-condo-sXJMmfuXuySDZL8R2dQGZ9#enquiry_position_14#enquiry_source_Search,5 min (172 m) from ,Orchard MRT,Scotts Square,Orchard,Pool view,https://pic.99.co/v3/jBfdwzxyacNz8qpczPAUCZ?width=1200&mode=fill&text=Maggie+Chow&sampling=lanczos&quality=80&version=1&signature=7884b5d13101ceb6cd13be777a3020998312f78d,$7.69 psf,"$4,800/mo",Condo Whole Unit,624,Freehold,338,"Studio, 1, 2, 3, 5 BR",1,1
"['Jogging track', 'Pond', 'Outdoor dining', 'Balcony', 'Pool deck', 'Lounge', 'Wading pool', 'Hydrotherapy pool', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2021,59 Tampines Street 86,City Developments Limited (CDL),Pasir Ris / Tampines (D18),,,Partial,https://www.99.co/singapore/rent/property/the-tapestry-condo-PjtcMAF9F2Fp6Js7yjDRdh#enquiry_position_15#enquiry_source_Search,,,The Tapestry,Tampines,,https://pic.99.co/v3/53x89Piyx9shZbGTXum2zF?width=2400&mode=fill&text=Jeffrey+Liu&sampling=lanczos&quality=80&version=1&signature=a949593953aa05d4aabe7729ac991a77a2fc01b9,$4.98 psf,"$3,000/mo",Condo Whole Unit,603,99 Years,861,"1, 2, 3, 4, 5 BR",2,1
"['Clubhouse', 'Water feature', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Mid floor', 'Outdoor dining', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2015,24 Leedon Heights,Leedon Residence Development Pte Ltd,Tanglin / Holland (D10),North East,Mid (12 total),Partial,https://www.99.co/singapore/rent/property/leedon-residence-condo-dSXQfBNSJcK6EGcsvYSJR9#enquiry_position_16#enquiry_source_Search,15 min (1157 m) from ,Holland Village MRT,Leedon Residence,Bukit Timah,Greenery view,https://pic.99.co/v3/HyfDg98zKfHgvCDLxxUMgX?width=2400&mode=fill&text=Richard+Jany&sampling=lanczos&quality=80&version=1&signature=9596676dab3f3da7d3036dc487b50dcd0b85489b,$5.54 psf,"$14,800/mo",Condo Whole Unit,"2,670",Freehold,381,"2, 3, 4, 5, 6, 7 BR",4,4
"['Jogging track', 'Clubhouse', 'Function room', 'Games room', 'Water feature', 'Jacuzzi', 'Parking', 'Pond', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2013,82 Dakota Crescent,UOL Group Limited,Eunos / Geylang / Paya Lebar (D14),,High (20 total),Partial,https://www.99.co/singapore/rent/property/waterbank-at-dakota-condo-SCsR3swjfBt6w7d6ZsAmKa#enquiry_position_17#enquiry_source_Search,5 min (196 m) from ,Dakota MRT,Waterbank At Dakota,Geylang,Greenery view,https://pic.99.co/v3/FEH4XPvkt5YeUqS5WvJkAY?width=2400&mode=fill&text=Jeslyn+Lim&sampling=lanczos&quality=80&version=1&signature=1a3e7b209cc71af750b4e66531170d33bac1d225,$4.86 psf,"$5,700/mo",Condo Whole Unit,"1,173",99 Years,616,"1, 2, 3, 4, 5 BR",3,3
"['City view', 'Renovated', 'Aircon', 'High ceiling', 'Greenery view', 'Fridge', 'Dryer', 'Top floor', '', '', '', '']",2005,10 Tanglin Road,,Tanglin / Holland (D10),,High (5 total),Partial,https://www.99.co/singapore/rent/property/10-tanglin-condo-svBUwYvUPSeRepMGb49sJ6#enquiry_position_18#enquiry_source_Search,15 min (914 m) from ,Orchard MRT,10 Tanglin,Tanglin,City view,https://pic.99.co/v3/jAJ9rRQK2eVFy2pT8fNWJb?width=2400&mode=fill&text=Bhavina+Kaur&sampling=lanczos&quality=80&version=1&is_watermark=True&signature=74dd40f8c0df4dea0390008b4b288780b58404e1,$4.44 psf,"$4,000/mo",Condo Whole Unit,900,Freehold,48,2 BR,2,2
"['City view', 'Patio / pes', 'Renovated', 'Water feature', 'High ceiling', 'Yoga corner', 'Gym', 'Swimming pool', '', '', '', '', '', '', '', '', '', '', '', '', '']",2014,3 Khiang Guan Avenue,Phileap Pte Ltd,Newton / Novena (D11),North South,High (30 total),Flexible,https://www.99.co/singapore/rent/property/lincoln-suites-condo-2oyL8qFaibPhg2PgxpWzQD#enquiry_position_20#enquiry_source_Search,5 min (347 m) from ,Novena MRT,Lincoln Suites,Novena,City view,https://pic.99.co/v3/SNAyXAfX3UTXSsC8WwiuwR?width=2400&mode=fill&text=Catherine+Choong&sampling=lanczos&quality=80&version=1&signature=a6327ffc47eaabefa2b7d8489b5cad249c607601,$4.77 psf,"$5,133/mo",Condo Whole Unit,"1,076",Freehold,175,"Studio, 1, 2, 3, 4, 5 BR",2,2
"['Fun pool', 'Clubhouse', 'Renovated', 'Aircon', 'Swimming pool', 'High ceiling', 'Gym', 'Timber deck', '', '', '', '', '', '', '', '', '', '', '', '']",2000,6 Hougang Street 92,Serenity Properties Pte Ltd (Far East Organization),Hougang / Punggol / Sengkang (D19),,,Fully,https://www.99.co/singapore/rent/property/regentville-condo-xJ2SNPxWwBvZ6a2upLuEBX#enquiry_position_21#enquiry_source_Search,,,Regentville,Hougang,,https://pic.99.co/v3/VsDjgcELz8BTuAVXFRtVh3?width=2400&mode=fill&text=Chow+Jeanette&sampling=lanczos&quality=80&version=1&signature=620d72273fcaa7b5f021a3d6156fc99e25a63dc7,$3.06 psf,"$3,000/mo",Condo Whole Unit,980,99 Years,580,"1, 2, 3 BR",2,2
