address,lat,long,cluster_label
"Wallich Street, Singapore",1.2768934719622609,103.84445782929863,2
"Claymore Drive, Singapore",1.307183281195904,103.82951494950314,5
"Paya Lebar Road, Singapore",1.3333343386056902,103.88861632290003,1
"Orchard Boulevard, Singapore",1.3044099853032676,103.8297984755598,-1
"Guillemard Road, Singapore",1.310916707150167,103.88425819102844,2
"Sims Avenue, Singapore",1.3160621422010523,103.88785072165165,1
"West Coast Vale, Singapore",1.31152000000003,103.75963000000009,3
"Oxley Rise, Singapore",1.297014828583393,103.84310990453162,5
"Pasir Ris Grove, Singapore",1.3719997019260144,103.9448006739876,-1
"Beach Road, Singapore",1.2984684054481868,103.8581001983291,4
"Handy Road, Singapore",1.2995853410236504,103.846488724629,5
"Scotts Road, Singapore",1.309820539671268,103.83414487491372,2
"Tampines Street , Singapore",1.3681900000000269,103.92948000000008,-1
"Leedon Heights, Singapore",1.31452086107974,103.80218023238024,2
"Dakota Crescent, Singapore",1.3068483350353746,103.88746612979288,-1
"Tanglin Road, Singapore",1.3020637832871709,103.81951711121204,2
"Khiang Guan Avenue, Singapore",1.3166140793771153,103.8433373364456,2
"Hougang Street , Singapore",1.371240000000057,103.89162000000005,2
"Alexandra Road, Singapore",1.2918838475436416,103.80865109257064,2
"Saint Thomas Walk, Singapore",1.2979175332392952,103.83577712640016,5
"Meyer Road, Singapore",1.29891805364394,103.88592515518688,0
"Martin Place, Singapore",1.2933505425664364,103.83845165084976,-1
"Cairnhill Circle, Singapore",1.3066329990700398,103.83996913292587,2
"Mount Elizabeth, Singapore",1.3052099699951747,103.83591962581971,4
"Evelyn Road, Singapore",1.3163079158875746,103.83986152150098,-1
"Pasir Panjang Road, Singapore",1.2731152630621865,103.80201626844216,5
"Peck Hay Road, Singapore",1.3087694325673518,103.83940211463208,5
"Siglap Link, Singapore",1.3076516514346672,103.92866915032532,-1
"Mosque Street, Singapore",1.28381895659669,103.8447615056507,4
"Nassim Road, Singapore",1.3140424317305257,103.81864761261268,-1
"Kitchener Link, Singapore",1.3116709529717046,103.85719995667256,2
"Shenton Way, Singapore",1.276169269752845,103.84819184584126,2
"Prince Charles Crescent, Singapore",1.2928598097510806,103.81882969591196,0
"Marina Way, Singapore",1.279091584160497,103.85511202451544,0
"Spottiswoode Park Road, Singapore",1.273788412143246,103.8361307061442,3
"Delta Road, Singapore",1.2917600000000675,103.82594000000006,2
"Cairnhill Road, Singapore",1.302996890012094,103.83778496026676,-1
"Gopeng Street, Singapore",1.2754717353614209,103.84458509464532,2
"Fraser Street, Singapore",1.2998810284594495,103.85795158480082,4
"Ardmore Park, Singapore",1.309505236013564,103.82922179243955,5
"Changi Road, Singapore",1.3174571366625232,103.90425278104829,1
"Bedok South Avenue , Singapore",1.315109111861853,103.93343937974534,-1
"Killiney Road, Singapore",1.2983371319838246,103.83888588635482,-1
"Anthony Road, Singapore",1.3104983515396462,103.8377174448481,5
"Nathan Road, Singapore",1.2985813162783275,103.82469809216136,-1
"River Valley Road, Singapore",1.2926561447627156,103.84425053782086,-1
"Guan Chuan Street, Singapore",1.28285095139787,103.83162139379078,2
"Sims Drive, Singapore",1.318740746595357,103.8816305958994,2
"Angullia Park, Singapore",1.3041735524102984,103.82978897894724,-1
"Serangoon North View, Singapore",1.3540500000000293,103.87252000000008,5
"Bassein Road, Singapore",1.323307092094413,103.84810436170478,2
"Lincoln Road, Singapore",1.3151240239676572,103.84281820000376,5
"Newton Road, Singapore",1.3201366214191008,103.84213219307804,1
"Bayshore Road, Singapore",1.312534973074021,103.94041746646585,0
"Marina Boulevard, Singapore",1.278053357073952,103.85837926870144,0
"River Valley Close, Singapore",1.2943386122753775,103.83720672975764,4
"Prinsep Link, Singapore",1.3001130737355415,103.85068482079544,-1
"One, Singapore",1.2904100000000651,103.85211000000004,-1
"Marine Parade Road, Singapore",1.3066755428158583,103.9146982774336,4
"Lorong H Telok Kurau, Singapore",1.3162290022851817,103.91052422671896,1
"Holland Road, Singapore",1.323304662494512,103.78498488333028,0
"Lorong , Singapore",1.3130710231087972,103.91172172660715,-1
"Joo Chiat Place, Singapore",1.314348406071443,103.90680162159605,2
"Grange Road, Singapore",1.300998288925356,103.83661423946997,-1
"Mackenzie Road, Singapore",1.3058150445170646,103.84808244587182,2
"Amber Road, Singapore",1.3004917764362296,103.90085759516336,5
"Upper East Coast Road, Singapore",1.3142033706247012,103.93451555767804,0
"East Coast Road, Singapore",1.3096363499339887,103.91580970208896,-1
"Havelock Road, Singapore",1.2879434036321955,103.84273888893328,4
"Liang Seah Street, Singapore",1.2980372727988267,103.85640078668654,4
"Mccallum Street, Singapore",1.279061572735824,103.84836887594592,4
"Lorong M Telok Kurau, Singapore",1.310897039313024,103.91213417373488,-1
"Saint Martin, Singapore",1.409753002608256,103.8741163164181,2
"Lorong K Telok Kurau, Singapore",1.3130710231087972,103.91172172660715,-1
"Race Course Road, Singapore",1.3146017203329297,103.85653723047238,5
"Teow Hock Avenue, Singapore",1.3620886421540763,103.87977275956337,0
"Boon Lay Drive, Singapore",1.343108796178946,103.71164082190344,2
"Upper Serangoon Road, Singapore",1.375403844910612,103.90117793598408,0
"Fort Road, Singapore",1.3006307702980138,103.88549768081192,-1
"Jurong Lake Link, Singapore",1.3419400000000223,103.72639000000004,0
"South Buona Vista Road, Singapore",1.286906462507942,103.78494234415402,3
"Enggor Street, Singapore",1.2742408585785456,103.84475541372495,2
"Ang Mo Kio Avenue , Singapore",1.3670038236613449,103.8508723177316,5
"Emerald Hill Road, Singapore",1.3037078438438567,103.83956722672656,4
"Lorong Lew Lian, Singapore",1.3508961920310736,103.87629050191512,5
"Devonshire Road, Singapore",1.299458476823455,103.83744867182772,-1
"Tanah Merah Kechil Avenue, Singapore",1.3295819961478663,103.94610120824562,2
"Flora Drive, Singapore",1.3568073783117185,103.96523517361,0
"Bishan Street , Singapore",1.3453172151191823,103.8458227133918,2
"Woodleigh Close, Singapore",1.3356884482289415,103.868887791823,5
"Shelford Road, Singapore",1.3262395799747893,103.81049645310756,-1
"Kovan Road, Singapore",1.3589375358140958,103.8817127940839,2
"Mergui Road, Singapore",1.3172214127388249,103.85210117584012,5
"Lorong Marzuki, Singapore",1.319978123259925,103.90937224014957,1
"Kim Keat Lane, Singapore",1.3240518123210925,103.8536040030058,-1
"Margate Road, Singapore",1.2990119981867638,103.88888248333478,0
"Shanghai Road, Singapore",1.2952226406406735,103.82760341457448,2
"Thomson Road, Singapore",1.3356873403320322,103.83704745912772,-1
"Kensington Park Drive, Singapore",1.3682887519212072,103.86965915473552,2
"Thomson Lane, Singapore",1.3303418629662638,103.8402699170824,3
"Marne Road, Singapore",1.3127031835320864,103.85711257525584,1
"Chwee Chian Road, Singapore",1.2791571332075529,103.788733385235,4
"Mount Sophia, Singapore",1.3024341332440437,103.84615846803028,5
"Yishun Avenue , Singapore",1.4362100000000737,103.83582000000008,-1
