,address,lat,long
96,"Shanghai Road, Singapore",1.2952226406406737,103.82760341457447
97,"Thomson Road, Singapore",1.3356873403320322,103.83704745912773
98,"Kensington Park Drive, Singapore",1.3682887519212072,103.86965915473552
99,"Thomson Lane, Singapore",1.3303418629662638,103.84026991708241
100,"Marne Road, Singapore",1.3127031835320864,103.85711257525585
101,"Chwee Chian Road, Singapore",1.2791571332075529,103.788733385235
102,"Mount Sophia, Singapore",1.3024341332440437,103.84615846803028
103,"Yishun Avenue , Singapore",1.4362100000000737,103.83582000000007
104,"Sinaran Drive, Singapore",1.320026169917651,103.84423422533
105,"Poh Huat Road, Singapore",1.366477089134612,103.88239397623914
106,"Central Boulevard, Singapore",1.2775104043512195,103.85581043276464
107,"Hillview Avenue, Singapore",1.362120341387743,103.76470093805878
108,"Leonie Hill Road, Singapore",1.298055273971835,103.8336824778355
109,"Clemenceau Avenue North, Singapore",1.3094824852964189,103.83969660259078
110,"Orchard Road, Singapore",1.2985755088964572,103.84867586013546
111,"Faber Heights, Singapore",1.322813724605694,103.75685781222587
112,"Toh Tuck Road, Singapore",1.3397011704621893,103.76595600301492
113,"Depot Road, Singapore",1.2818373478222052,103.80881824352913
114,"West Coast Park, Singapore",1.2931200000000445,103.76551000000006
115,"Telok Blangah Road, Singapore",1.2667303521115765,103.8270398691788
116,"Jalan Eunos, Singapore",1.3208400000000324,103.89980000000008
117,,18.776095735718457,100.77393496801147
118,"Rangoon Road, Singapore",1.3154428379285197,103.85356537483868
119,"Oxley Walk, Singapore",1.2972040798008357,103.84239735061503
120,"Cavenagh Road, Singapore",1.3074739690870731,103.84157481034964
121,"Claymore Road, Singapore",1.3079196013121708,103.82968777080579
122,"Holland Avenue, Singapore",1.3089591381708516,103.79506652974877
123,"Wilkie Road, Singapore",1.3027069747490256,103.84768446635597
124,"Dairy Farm Heights, Singapore",1.3647550850555374,103.77338847301193
125,"Stirling Road, Singapore",1.2920974306404194,103.80474414113984
126,"Lorong Limau, Singapore",1.3240383887869136,103.85503360702248
127,"Suffolk Road, Singapore",1.3143826445165914,103.84452480070505
128,"Tanjong Rhu Road, Singapore",1.2971160380803626,103.87235359312102
129,"Lorong Chuan, Singapore",1.3636029710925983,103.86737896222553
130,"Rochester Drive, Singapore",1.306023743127533,103.78865680086189
131,"Bukit Batok Street , Singapore",1.354505527986176,103.75182006100965
132,"Cairnhill Rise, Singapore",1.3078624598954476,103.83937274568164
133,"Alexandra View, Singapore",1.290526478144381,103.81657585829983
134,"Bukit Batok Central Link, Singapore",1.3495427040350223,103.74885907556298
135,"Commonwealth Avenue, Singapore",1.2996661668838951,103.80120722255552
136,"Butterworth Lane, Singapore",1.3124602969328194,103.89520304458924
137,"Lloyd Road, Singapore",1.297858806989575,103.83850501876853
138,"Jalan Mat Jambol, Singapore",1.2774764143993307,103.79158082975371
139,"Simei Street , Singapore",1.3434261252916524,103.95862691515379
140,"Yishun Central , Singapore",1.4266343044803036,103.84066273724407
141,"Serangoon Avenue , Singapore",1.3538900000000353,103.86761000000007
