pk,category,subid,main_category
71,Bar,4bf58dd8d48988d116941735,Nightlife Spot
71,Food Court,4bf58dd8d48988d120951735,Food
71,Beer Bar,56aa371ce4b08b9a8d57356c,Nightlife Spot
71,Bus Line,4bf58dd8d48988d12b951735,Not A Match
72,Café,4bf58dd8d48988d16d941735,Food
72,Food Court,4bf58dd8d48988d120951735,Food
72,Resort,4bf58dd8d48988d12f951735,Not A Match
72,Airport Terminal,4bf58dd8d48988d1eb931735,Not A Match
73,Ice Cream Shop,4bf58dd8d48988d1c9941735,Food
73,Deli / Bodega,4bf58dd8d48988d146941735,Food
73,Mexican Restaurant,4bf58dd8d48988d1c1941735,Food
73,Asian Restaurant,4bf58dd8d48988d142941735,Food
73,Wine Bar,4bf58dd8d48988d123941735,Nightlife Spot
73,Italian Restaurant,4bf58dd8d48988d110941735,Food
73,Restaurant,4bf58dd8d48988d1c4941735,Food
73,Café,4bf58dd8d48988d16d941735,Food
73,Noodle House,4bf58dd8d48988d1d1941735,Food
73,Italian Restaurant,4bf58dd8d48988d110941735,Food
73,Ramen Restaurant,55a59bace4b013909087cb24,Food
73,Coffee Shop,4bf58dd8d48988d1e0931735,Food
73,Noodle House,4bf58dd8d48988d1d1941735,Food
73,Cocktail Bar,4bf58dd8d48988d11e941735,Nightlife Spot
73,Soup Place,4bf58dd8d48988d1dd931735,Food
73,Bar,4bf58dd8d48988d116941735,Nightlife Spot
73,Bus Station,4bf58dd8d48988d1fe931735,Not A Match
73,Food Court,4bf58dd8d48988d120951735,Food
73,Basketball Court,4bf58dd8d48988d1e1941735,Outdoors & Recreation
73,Beer Bar,56aa371ce4b08b9a8d57356c,Nightlife Spot
74,Indian Restaurant,4bf58dd8d48988d10f941735,Food
74,Climbing Gym,503289d391d4c4b30a586d6a,Outdoors & Recreation
74,Sporting Goods Shop,4bf58dd8d48988d1f2941735,Shop & Service
74,Chinese Restaurant,4bf58dd8d48988d145941735,Food
74,Hotel,4bf58dd8d48988d1fa931735,Not A Match
74,Clothing Store,4bf58dd8d48988d103951735,Shop & Service
74,Soccer Stadium,4bf58dd8d48988d188941735,Arts & Entertainment
74,Coffee Shop,4bf58dd8d48988d1e0931735,Food
74,Café,4bf58dd8d48988d16d941735,Food
74,Soup Place,4bf58dd8d48988d1dd931735,Food
74,Noodle House,4bf58dd8d48988d1d1941735,Food
74,Indian Restaurant,4bf58dd8d48988d10f941735,Food
74,Noodle House,4bf58dd8d48988d1d1941735,Food
74,Chinese Restaurant,4bf58dd8d48988d145941735,Food
74,Hostel,4bf58dd8d48988d1ee931735,Not A Match
74,Vegetarian / Vegan Restaurant,4bf58dd8d48988d1d3941735,Food
74,Dumpling Restaurant,4bf58dd8d48988d108941735,Food
74,Bakery,4bf58dd8d48988d16a941735,Food
74,Ice Cream Shop,4bf58dd8d48988d1c9941735,Food
74,Hostel,4bf58dd8d48988d1ee931735,Not A Match
74,Asian Restaurant,4bf58dd8d48988d142941735,Food
74,Dessert Shop,4bf58dd8d48988d1d0941735,Food
74,Food Court,4bf58dd8d48988d120951735,Food
74,Asian Restaurant,4bf58dd8d48988d142941735,Food
74,Frozen Yogurt Shop,512e7cae91d4cbb4e5efe0af,Food
74,Asian Restaurant,4bf58dd8d48988d142941735,Food
74,Café,4bf58dd8d48988d16d941735,Food
74,Italian Restaurant,4bf58dd8d48988d110941735,Food
74,Vegetarian / Vegan Restaurant,4bf58dd8d48988d1d3941735,Food
74,Hostel,4bf58dd8d48988d1ee931735,Not A Match
75,Cemetery,4bf58dd8d48988d15c941735,Outdoors & Recreation
75,Park,4bf58dd8d48988d163941735,Outdoors & Recreation
75,Vegetarian / Vegan Restaurant,4bf58dd8d48988d1d3941735,Food
